tripduration,day,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
406,1/1/16,1/1/16 15:05,1/1/16 15:12,3164,Columbus Ave & W 72 St,40.7770575,-73.97898475,3166,Riverside Dr & W 72 St,40.78057799,-73.98562431,19486,Subscriber,1991,1
354,1/1/16,1/1/16 15:07,1/1/16 15:13,250,Lafayette St & Jersey St,40.72456089,-73.99565293,483,E 12 St & 3 Ave,40.73223272,-73.98889957,22751,Subscriber,1982,2
853,1/1/16,1/1/16 15:07,1/1/16 15:21,348,W Broadway & Spring St,40.72490985,-74.00154702,487,E 20 St & FDR Drive,40.73314259,-73.97573881,23877,Subscriber,1990,2
755,1/1/16,1/1/16 15:09,1/1/16 15:21,459,W 20 St & 11 Ave,40.746745,-74.007756,488,W 39 St & 9 Ave,40.75645824,-73.99372222,17944,Subscriber,1973,1
613,1/1/16,1/1/16 15:10,1/1/16 15:20,264,Maiden Ln & Pearl St,40.70706456,-74.00731853,315,South St & Gouverneur Ln,40.70355377,-74.00670227,15920,Customer,,0
322,1/1/16,1/1/16 15:10,1/1/16 15:16,519,Pershing Square North,40.751873,-73.977706,526,E 33 St & 5 Ave,40.74765947,-73.98490707,22419,Subscriber,1957,1
569,1/1/16,1/1/16 15:15,1/1/16 15:24,439,E 4 St & 2 Ave,40.7262807,-73.98978041,350,Clinton St & Grand St,40.71559509,-73.9870295,23732,Subscriber,1974,2
2048,1/1/16,1/1/16 15:18,1/1/16 15:52,499,Broadway & W 60 St,40.76915505,-73.98191841,3139,E 72 St & Park Ave,40.77118288,-73.96409422,14566,Customer,,0
329,1/1/16,1/1/16 15:21,1/1/16 15:26,502,Henry St & Grand St,40.714215,-73.981346,531,Forsyth St & Broome St,40.71893904,-73.99266288,23808,Subscriber,1963,1
733,1/1/16,1/1/16 15:21,1/1/16 15:33,3143,5 Ave & E 78 St,40.77682863,-73.96388769,281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,16852,Customer,,0
320,1/1/16,1/1/16 15:31,1/1/16 15:37,355,Bayard St & Baxter St,40.71602118,-73.99974372,279,Peck Slip & Front St,40.707873,-74.00167,19656,Subscriber,1950,1
894,1/1/16,1/1/16 15:33,1/1/16 15:47,369,Washington Pl & 6 Ave,40.73224119,-74.00026394,386,Centre St & Worth St,40.71494807,-74.00234482,23580,Subscriber,1985,1
1084,1/1/16,1/1/16 15:33,1/1/16 15:51,2006,Central Park S & 6 Ave,40.76590936,-73.97634151,168,W 18 St & 6 Ave,40.73971301,-73.99456405,21985,Subscriber,1976,1
1069,1/1/16,1/1/16 15:38,1/1/16 15:56,3141,1 Ave & E 68 St,40.76500525,-73.95818491,3168,Central Park West & W 85 St,40.78472675,-73.96961715,18858,Subscriber,1970,1
7028,1/1/16,1/1/16 15:45,1/1/16 17:42,449,W 52 St & 9 Ave,40.76461837,-73.98789473,449,W 52 St & 9 Ave,40.76461837,-73.98789473,16344,Customer,,0
451,1/1/16,1/1/16 15:47,1/1/16 15:54,487,E 20 St & FDR Drive,40.73314259,-73.97573881,435,W 21 St & 6 Ave,40.74173969,-73.99415556,22599,Subscriber,1992,1
340,1/1/16,1/1/16 15:48,1/1/16 15:53,546,E 30 St & Park Ave S,40.74444921,-73.98303529,497,E 17 St & Broadway,40.73704984,-73.99009296,20939,Subscriber,1959,1
197,1/1/16,1/1/16 15:50,1/1/16 15:54,331,Pike St & Monroe St,40.71173107,-73.99193043,361,Allen St & Hester St,40.71605866,-73.99190759,23267,Subscriber,1965,1
1010,1/1/16,1/1/16 15:52,1/1/16 16:08,435,W 21 St & 6 Ave,40.74173969,-73.99415556,150,E 2 St & Avenue C,40.7208736,-73.98085795,19490,Subscriber,1953,1
344,1/1/16,1/1/16 15:54,1/1/16 16:00,489,10 Ave & W 28 St,40.75066386,-74.00176802,470,W 20 St & 8 Ave,40.74345335,-74.00004031,15415,Subscriber,1984,1
542,1/1/16,1/1/16 15:56,1/1/16 16:05,3070,McKibbin St & Manhattan Ave,40.70510918,-73.94407279,3061,Throop Ave & Myrtle Ave,40.69622937,-73.94371094,24075,Subscriber,1985,1
